type,id,bnf_code,nm
amp,4164511000001101,,Entonox cylinders 2000litres size F (BOC Ltd)
amp,4489311000001105,,Entonox cylinders 2200litres size HX (BOC Ltd)
amp,8091211000001106,,Entonox cylinders 3970litres size ZX (BOC Ltd)
amp,4567111000001106,,Entonox cylinders 5000litres size G (BOC Ltd)
amp,4163611000001100,,Entonox cylinders 500litres size D (BOC Ltd)
amp,8090211000001100,,Entonox cylinders 794litres size ZD (BOC Ltd)
amp,14652211000001100,1501020R0BCAAAH,Entonox cylinders size D (BOC Ltd)
amp,20282811000001106,1501020R0BCAHA0,Entonox cylinders size EA (BOC Ltd)
amp,20283011000001109,1501020R0BCAIA0,Entonox cylinders size ED (BOC Ltd)
amp,20283211000001104,1501020R0BCAJA0,Entonox cylinders size EX (BOC Ltd)
amp,14646311000001105,1501020R0BCABA0,Entonox cylinders size F (BOC Ltd)
amp,14651711000001100,1501020R0BCACA0,Entonox cylinders size G (BOC Ltd)
amp,14649011000001101,1501020R0BCAEA0,Entonox cylinders size HX (BOC Ltd)
amp,14654611000001106,1501020R0BCAFA0,Entonox cylinders size ZD (BOC Ltd)
amp,14650611000001104,1501020R0BCAGA0,Entonox cylinders size ZX (BOC Ltd)
amp,10173511000001108,,Equanox cylinders 10600litres size J (Linde Gas UK Ltd)
amp,10173911000001101,,Equanox cylinders 14500litres size J (Linde Gas UK Ltd)
amp,10237711000001108,,Equanox cylinders 2000litres size F (Linde Gas UK Ltd)
amp,10171311000001103,,Equanox cylinders 210litres size CC (Linde Gas UK Ltd)
amp,10029711000001108,,Equanox cylinders 2120litres size AF4 (Linde Gas UK Ltd)
amp,10172711000001106,,Equanox cylinders 2730litres size F4 (Linde Gas UK Ltd)
amp,10173111000001104,,Equanox cylinders 2900litres size AF4 200 (Linde Gas UK Ltd)
amp,10171711000001104,,Equanox cylinders 290litres size CC 200 (Linde Gas UK Ltd)
amp,10029411000001102,,Equanox cylinders 420litres size AD (Linde Gas UK Ltd)
amp,10028611000001108,,Equanox cylinders 5000litres size G (Linde Gas UK Ltd)
amp,10028811000001107,,Equanox cylinders 500litres size D (Linde Gas UK Ltd)
amp,10172011000001109,,Equanox cylinders 580litres size AD 200 (Linde Gas UK Ltd)
amp,10172211000001104,,Equanox cylinders 580litres size CD 200 (Linde Gas UK Ltd)
amp,14651111000001101,191500000BDBCA0,Equanox cylinders size AD (Linde Gas UK Ltd)
amp,14653011000001101,,Equanox cylinders size AD 200 (Linde Gas UK Ltd)
amp,14648611000001104,191500000BDBBA0,Equanox cylinders size AF4 (Linde Gas UK Ltd)
amp,14649611000001108,,Equanox cylinders size AF4 200 (Linde Gas UK Ltd)
amp,14648111000001107,,Equanox cylinders size CC (Linde Gas UK Ltd)
amp,14650111000001107,,Equanox cylinders size CC 200 (Linde Gas UK Ltd)
amp,14653411000001105,,Equanox cylinders size CD 200 (Linde Gas UK Ltd)
amp,14652611000001103,191500000BDBEA0,Equanox cylinders size D (Linde Gas UK Ltd)
amp,14647611000001103,191500000BDBKA0,Equanox cylinders size F (Linde Gas UK Ltd)
amp,14649411000001105,,Equanox cylinders size F4 (Linde Gas UK Ltd)
amp,14652011000001105,191500000BDBDA0,Equanox cylinders size G (Linde Gas UK Ltd)
amp,14664811000001103,,Equanox cylinders size J (Linde Gas UK Ltd)
amp,14638711000001109,191500000BDBFA0,Helium 79% / Oxygen 21% cylinders (Linde Gas UK Ltd)
amp,10030611000001107,,Helium 79% / Oxygen 21% cylinders 1200litres (Linde Gas UK Ltd)
amp,4692811000001107,,Helium 79% / Oxygen 21% cylinders 1200litres size F (BOC Ltd)
amp,4693811000001104,,Helium 79% / Oxygen 21% cylinders 1780litres size HX (BOC Ltd)
amp,10182811000001109,,Helium 79% / Oxygen 21% cylinders 2000litres size F4 (Linde Gas UK Ltd)
amp,10030911000001101,,Helium 79% / Oxygen 21% cylinders 3000litres (Linde Gas UK Ltd)
amp,10183211000001102,,Helium 79% / Oxygen 21% cylinders 5000litres size G4 (Linde Gas UK Ltd)
amp,14638411000001103,191500000BDAVA0,Helium 79% / Oxygen 21% cylinders size F (BOC Ltd)
amp,14640211000001104,,Helium 79% / Oxygen 21% cylinders size F4 (Linde Gas UK Ltd)
amp,14641011000001100,,Helium 79% / Oxygen 21% cylinders size G4 (Linde Gas UK Ltd)
amp,14639311000001104,191500000BDAYA0,Helium 79% / Oxygen 21% cylinders size HX (BOC Ltd)
amp,10244311000001104,,Medical Oxygen cylinders 1360litres size F (Linde Gas UK Ltd)
amp,10243511000001107,,Medical Oxygen cylinders 170litres size C (Linde Gas UK Ltd)
amp,10244511000001105,,Medical Oxygen cylinders 2300litres size F4 (Linde Gas UK Ltd)
amp,10243311000001101,,Medical Oxygen cylinders 300litres size CC (Linde Gas UK Ltd)
amp,10243911000001100,,Medical Oxygen cylinders 340litres size D (Linde Gas UK Ltd)
amp,10243711000001102,,Medical Oxygen cylinders 430litres size AD 200 (Linde Gas UK Ltd)
amp,10244111000001101,,Medical Oxygen cylinders 680litres size E (Linde Gas UK Ltd)
amp,14656111000001105,,Medical Oxygen cylinders size AD 200 (Linde Gas UK Ltd)
amp,14650411000001102,,Medical Oxygen cylinders size C (Linde Gas UK Ltd)
amp,14655311000001102,,Medical Oxygen cylinders size CC (Linde Gas UK Ltd)
amp,14655911000001101,,Medical Oxygen cylinders size D (Linde Gas UK Ltd)
amp,14658811000001102,,Medical Oxygen cylinders size E (Linde Gas UK Ltd)
amp,14649211000001106,,Medical Oxygen cylinders size F (Linde Gas UK Ltd)
amp,14651611000001109,,Medical Oxygen cylinders size F4 (Linde Gas UK Ltd)
amp,14633811000001106,,Oxygen 95% / Carbon dioxide 5% cylinders (Linde Gas UK Ltd)
amp,10184411000001100,,Oxygen 95% / Carbon dioxide 5% cylinders 10500litres size J4 (Linde Gas UK Ltd)
amp,10029911000001105,,Oxygen 95% / Carbon dioxide 5% cylinders 1360litres (Linde Gas UK Ltd)
amp,4168211000001105,,Oxygen 95% / Carbon dioxide 5% cylinders 1360litres size F (BOC Ltd)
amp,10183611000001100,,Oxygen 95% / Carbon dioxide 5% cylinders 2300litres size F4 (Linde Gas UK Ltd)
amp,10030111000001104,,Oxygen 95% / Carbon dioxide 5% cylinders 3400litres (Linde Gas UK Ltd)
